Sentence#	Word	POS	Tag
	budgets	NNS	O
	that	WDT	O
	are	VBP	O
	needed	VBN	O
	for	IN	O
	EVM	NNP	O
	will	MD	O
	then	RB	O
	be	VB	O
	based	VBN	O
	on	IN	O
	assumptions	NNS	O
	and	CC	O
	local	JJ	O
	interpretations	NNS	O
	of	IN	O
	project	NN	B-seterm
	level	NN	O
	information	NN	O
	.	.	O
Sentence:554	If	IN	O
	this	DT	O
	is	VBZ	O
	the	DT	O
	case	NN	O
	,	,	O
	it	PRP	O
	is	VBZ	O
	highly	RB	O
	likely	JJ	O
	that	IN	O
	substantial	JJ	O
	variances	NNS	O
	will	MD	O
	occur	VB	O
	between	IN	O
	the	DT	O
	baseline	NN	B-opcon
	plan	NN	O
	and	CC	O
	the	DT	O
	work	NN	O
	performed	VBD	O
	.	.	O
Sentence:555	Providing	VBG	O
	technical	JJ	B-opcon
	work	NN	O
	directives	NNS	O
	to	TO	O
	CAMs	NNP	O
	produces	VBZ	O
	a	DT	O
	more	RBR	O
	organized	JJ	O
	technical	JJ	B-grp
	team	NN	I-grp
	.	.	O
Sentence:556	This	DT	O
	activity	NN	B-opcon
	may	MD	O
	be	VB	O
	repeated	VBN	O
	when	WRB	O
	replanning	VBG	O
	occurs	NNS	O
	.	.	O
Sentence:557	The	DT	O
	actual	JJ	O
	assignment	NN	O
	of	IN	O
	the	DT	O
	roles	NNS	O
	and	CC	O
	responsibilities	NNS	O
	of	IN	O
	the	DT	O
	named	VBN	O
	SER	NNP	B-abb
	may	MD	O
	also	RB	O
	therefore	VB	O
	vary	NN	O
	.	.	O
Sentence:558	CDR	NNP	O
	Critical	NNP	B-opcon
	Design	NNP	I-opcon
	Review	NNP	I-opcon
	ORR	NNP	O
	Operational	NNP	B-opcon
	Readiness	NNP	B-opcon
	Review	NNP	O
Sentence:559	Where	WRB	O
	EVM	NNP	O
	is	VBZ	O
	called	VBN	O
	for	IN	O
	,	,	O
	it	PRP	O
	produces	VBZ	O
	3	CD	B-cardinal
	an	DT	O
	EVM	NNP	O
	planning	NN	O
	baseline	NN	B-opcon
	,	,	O
	including	VBG	O
	a	DT	O
	BCWS	NNP	O
	.	.	O
Sentence:560	This	DT	O
	activity	NN	B-opcon
	is	VBZ	O
	not	RB	O
	limited	VBN	O
	to	TO	O
	SEG	NNP	B-abb
	.	.	O
Sentence:561	This	DT	O
	is	VBZ	O
	a	DT	O
	normal	JJ	O
	part	NN	O
	of	IN	O
	project	NN	B-seterm
	planning	VBG	O
	wherever	NN	O
	there	EX	O
	is	VBZ	O
	a	DT	O
	need	NN	B-opcon
	for	IN	O
	an	DT	O
	accurate	NN	O
	planning	NN	O
	baseline	NN	B-opcon
	.	.	O
Sentence:562	For	IN	O
	additional	JJ	O
	information	NN	O
	on	IN	O
	Technical	NNP	B-opcon
	Work	NN	O
Sentence:563	The	DT	O
	work	NN	O
	products	NNS	B-seterm
	from	IN	O
	the	DT	O
	Technical	NNP	B-opcon
	Planning	NNP	I-opcon
	Process	NNP	I-opcon
	should	MD	O
	be	VB	O
	managed	VBN	O
	using	VBG	O
	either	CC	O
	the	DT	O
	Technical	NNP	B-opcon
	DM	NNP	O
	Process	NNP	B-opcon
	or	CC	O
	the	DT	O
	CM	NNP	O
	Process	NNP	B-opcon
	as	IN	O
	required	VBN	O
	.	.	O
Sentence:564	are	VBP	O
	kept	VBN	O
	under	IN	O
	configuration	NN	B-opcon
	control	NN	O
	and	CC	O
	captured	VBD	O
	using	VBG	O
	the	DT	O
	CM	NNP	O
	process	NN	B-opcon
	.	.	O
Sentence:565	The	DT	O
	Technical	NNP	B-opcon
	DM	NNP	O
	Process	NNP	B-opcon
	is	VBZ	O
	used	VBN	O
	to	TO	O
	capture	VB	O
	trade	NN	O
	studies	NNS	O
	,	,	O
	cost	NN	B-mea
	estimates	NNS	I-mea
	,	,	O
	technical	JJ	B-opcon
	analyses	NNS	O
	,	,	O
	reports	NNS	B-opcon
	,	,	O
	and	CC	O
	other	JJ	O
	important	JJ	O
	documents	NNS	O
	not	RB	O
	under	IN	O
	formal	JJ	O
	configuration	NN	B-opcon
	control	NN	O
	.	.	O
Sentence:566	Work	NN	O
	products	NNS	B-seterm
	,	,	O
	such	JJ	O
	as	IN	O
	meeting	NN	O
	minutes	NNS	O
	and	CC	O
	correspondence	NN	O
	including	VBG	O
	email	NN	O
	containing	NN	O
	decisions	NNS	O
	or	CC	O
	agreements	NNS	O
	with	IN	O
	stakeholders	NNS	B-grp
	also	RB	O
	should	MD	O
	be	VB	O
	retained	VBN	O
	and	CC	O
	stored	VBN	O
	in	IN	O
	project	NN	B-seterm
	files	NNS	O
	for	IN	O
	later	JJR	O
	reference	NN	O
	.	.	O
Sentence:567	The	DT	O
	resulting	VBG	O
	technical	JJ	B-opcon
	planning	NN	I-opcon
	strategy	NN	O
	constitutes	VBZ	O
	an	DT	O
	outline	NN	O
	,	,	O
	or	CC	O
	rough	JJ	O
	draft	NN	O
	,	,	O
	of	IN	O
	the	DT	O
	SEMP	NNP	O
	.	.	O
Sentence:568	This	DT	O
	serves	VBZ	O
	as	IN	O
	a	DT	O
	starting	NN	O
	point	NN	O
	for	IN	O
	the	DT	O
	overall	JJ	O
	Technical	NNP	B-opcon
	Planning	NNP	I-opcon
	Process	NNP	I-opcon
	after	IN	O
	initial	JJ	O
	preparation	NN	O
	is	VBZ	O
	complete	JJ	O
	.	.	O
Sentence:569	PRR	NNP	O
	is	VBZ	O
	needed	VBN	O
	only	RB	O
	when	WRB	O
	there	EX	O
	are	VBP	O
	multiple	JJ	O
	copies	NNS	O
	of	IN	O
	systems	NNS	B-syscon
	.	.	O
Sentence:570	When	WRB	O
	preparations	NNS	O
	for	IN	O
	technical	JJ	B-opcon
	planning	NN	I-opcon
	are	VBP	O
	complete	JJ	O
	,	,	O
	the	DT	O
	technical	JJ	B-grp
	team	NN	I-grp
	should	MD	O
	have	VB	O
	a	DT	O
	cost	NN	B-mea
	estimate	NN	O
	and	CC	O
	schedule	NN	B-opcon
	for	IN	O
	the	DT	O
	technical	JJ	B-opcon
	planning	NN	I-opcon
	effort	NN	O
	.	.	O
Sentence:571	The	DT	O
	budget	NN	O
	and	CC	O
	schedule	NN	B-opcon
	to	TO	O
	support	VB	O
	the	DT	O
	defined	JJ	O
	technical	JJ	B-opcon
	planning	NN	I-opcon
	effort	NN	O
	can	MD	O
	then	RB	O
	be	VB	O
	negotiated	VBN	O
	with	IN	O
	the	DT	O
	project	NN	B-grp
	manager	NN	I-grp
	to	TO	O
	resolve	VB	O
	any	DT	O
	discrepancies	NNS	O
	between	IN	O
	what	WP	O
	is	VBZ	O
	needed	VBN	O
	and	CC	O
	what	WP	O
	is	VBZ	O
	available	JJ	O
	.	.	O
Sentence:572	The	DT	O
	SEMP	NNP	O
	baseline	NN	B-opcon
	needs	NNS	B-opcon
	to	TO	O
	be	VB	O
	completed	VBN	O
	.	.	O
Sentence:573	Planning	VBG	O
	for	IN	O
	the	DT	O
	update	NN	O
	of	IN	O
	the	DT	O
	SEMP	NNP	O
	based	VBN	O
	on	IN	O
	programmatic	JJ	B-opcon
	changes	NNS	O
	needs	NNS	B-opcon
	to	TO	O
	be	VB	O
	developed	VBN	O
	and	CC	O
	implemented	VBN	O
	.	.	O
Sentence:574	The	DT	O
	SEMP	NNP	O
	needs	VBZ	B-opcon
	to	TO	O
	be	VB	O
	approved	VBN	O
	by	IN	O
	the	DT	O
	appropriate	JJ	O
	level	NN	O
	of	IN	O
	authority	NN	O
	.	.	O
Sentence:575	Requirements	NNS	B-opcon
	management	NN	O
	activities	NNS	O
	apply	VBP	O
	to	TO	O
	the	DT	O
	management	NN	O
	of	IN	O
	all	DT	O
	stakeholder	NN	B-mea
	expectations	NNS	I-mea
	,	,	O
	customer	NN	B-grp
	requirements	NNS	B-opcon
	,	,	O
	and	CC	O
	technical	JJ	B-opcon
	product	NN	B-syscon
	requirements	NNS	B-opcon
	down	RP	O
	to	TO	O
	the	DT	O
	lowest	JJS	O
	level	NN	O
	product	NN	B-syscon
	component	NN	O
	requirements	NNS	B-opcon
	hereafter	RBR	O
	referred	VBN	O
	to	TO	O
	as	IN	O
	expectations	NNS	B-opcon
	and	CC	O
	requirements	NNS	B-opcon
	.	.	O
Sentence:576	This	DT	O
	includes	VBZ	O
	physical	JJ	B-opcon
	functional	NN	B-opcon
	and	CC	O
	operational	JJ	B-opcon
	requirements	NNS	B-opcon
	,	,	O
	including	VBG	O
	those	DT	O
	that	WDT	O
	result	VBP	O
	from	IN	O
	interfaces	NNS	B-syscon
	between	IN	O
	the	DT	O
	systems	NNS	B-syscon
	in	IN	O
	question	NN	O
	and	CC	O
	other	JJ	O
	external	JJ	O
	entities	NNS	O
	and	CC	O
	environments	NNS	O
	.	.	O
Sentence:577	The	DT	O
	Requirements	NNP	B-opcon
	Management	NNP	I-opcon
	Process	NNP	I-opcon
	is	VBZ	O
	used	VBN	O
	to	TO	O
	:	:	O
Sentence:578	TPM	NNP	O
	estimation	NN	O
	evaluation	NN	B-opcon
	results	NNS	B-mea
	:	:	O
	TPM	NNP	O
	esti	VBZ	O
	mation	NN	O
	evaluation	NN	B-opcon
	results	NNS	B-mea
	from	IN	O
	the	DT	O
	Technical	NNP	B-opcon
	Assessment	NNP	I-opcon
	Process	NNP	I-opcon
	provide	VBP	O
	an	DT	O
	early	JJ	O
	warning	NN	O
	of	IN	O
	the	DT	O
	adequacy	NN	O
	of	IN	O
	a	DT	O
	design	NN	B-opcon
	in	IN	O
	satisfying	VBG	O
	selected	VBN	O
	critical	JJ	O
	technical	JJ	B-opcon
	parameter	NN	O
	requirements	NNS	B-opcon
	.	.	O
Sentence:579	Variances	NNS	O
	from	IN	O
	expected	VBN	O
	values	NNS	O
	of	IN	O
	product	NN	B-syscon
	performance	NN	B-mea
	may	MD	O
	trigger	VB	O
	changes	NNS	O
	to	TO	O
	requirements	NNS	B-opcon
	.	.	O
Sentence:580	It	PRP	O
	does	VBZ	O
	not	RB	O
	require	VB	O
	an	DT	O
	SRB	NNP	O
	.	.	O
Sentence:581	Preparing	VBG	O
	to	TO	O
	conduct	VB	O
	requirements	NNS	B-opcon
	management	NN	O
	includes	VBZ	O
	gathering	VBG	O
	the	DT	O
	requirements	NNS	B-opcon
	that	WDT	O
	were	VBD	O
	defined	VBN	O
	and	CC	O
	baselined	VBN	O
	during	IN	O
	the	DT	O
	Requirements	NNPS	B-opcon
	Definition	NNP	O
	Process	NNP	B-opcon
	.	.	O
Sentence:582	Identification	NN	O
	of	IN	O
	the	DT	O
	sources	NNS	O
	owners	NNS	O
	of	IN	O
	each	DT	O
	requirement	NN	B-opcon
	should	MD	O
	be	VB	O
	checked	VBN	O
	for	IN	O
	currency	NN	O
	.	.	O
Sentence:583	The	DT	O
	Requirements	NNP	B-opcon
	Management	NNP	I-opcon
	Process	NNP	I-opcon
	involves	VBZ	O
	managing	VBG	O
	all	DT	O
	changes	NNS	O
	to	TO	O
	expectations	NNS	B-opcon
	and	CC	O
	requirements	NNS	B-opcon
	baselines	NNS	O
	over	IN	O
	the	DT	O
	life	NN	O
	of	IN	O
	the	DT	O
	product	NN	B-syscon
	and	CC	O
	maintaining	VBG	O
	bidirectional	JJ	B-opcon
	traceability	NN	I-opcon
	between	IN	O
	stakeholder	NN	B-mea
	expectations	NNS	I-mea
	,	,	O
	customer	NN	B-grp
	requirements	NNS	B-opcon
	,	,	O
	technical	JJ	B-opcon
	product	NN	B-syscon
	requirements	NNS	B-opcon
	,	,	O
	product	NN	B-syscon
	component	NN	O
	requirements	NNS	B-opcon
	,	,	O
	design	NN	B-opcon
	documents	NNS	O
	,	,	O
	and	CC	O
	test	NN	B-opcon
	plans	NNS	O
	and	CC	O
	procedures	NNS	B-opcon
	.	.	O
Sentence:584	The	DT	O
	successful	JJ	O
	management	NN	O
	of	IN	O
	requirements	NNS	B-opcon
	involves	VBZ	O
	several	JJ	O
	key	JJ	O
	activities	NNS	O
	:	:	O
Sentence:585	As	IN	O
	each	DT	O
	requirement	NN	B-opcon
	is	VBZ	O
	documented	VBN	O
	,	,	O
	its	PRP$	O
	bidirectional	JJ	B-opcon
	traceability	NN	I-opcon
	should	MD	O
	be	VB	O
	recorded	VBN	O
	.	.	O
Sentence:586	Each	DT	O
	requirement	NN	B-opcon
	should	MD	O
	be	VB	O
	traced	VBN	O
	back	RB	O
	to	TO	O
	a	DT	O
	parent	NN	O
	source	NN	O
	requirement	NN	B-opcon
	or	CC	O
	expectation	NN	O
	in	IN	O
	a	DT	O
	baselined	JJ	O
	document	NN	O
	or	CC	O
	identified	VBN	O
	as	IN	O
	self	NN	O
	derived	VBN	O
	and	CC	O
	concurrence	NN	B-opcon
	on	IN	O
	it	PRP	O
	sought	VBD	O
	from	IN	O
	the	DT	O
	next	JJ	O
	higher	JJR	O
	level	NN	O
	requirements	NNS	B-opcon
	sources	NNS	O
	.	.	O
Sentence:587	Examples	NNS	O
	of	IN	O
	self	NN	O
	derived	VBN	B-opcon
	requirements	NNS	I-opcon
	are	VBP	O
	requirements	NNS	B-opcon
	that	WDT	O
	are	VBP	O
	locally	RB	O
	adopted	VBN	O
	as	IN	O
	good	JJ	O
	practices	NNS	O
	or	CC	O
	are	VBP	O
	the	DT	O
	result	NN	O
	of	IN	O
	design	NN	B-opcon
	decisions	NNS	O
	made	VBN	O
	while	IN	O
	performing	VBG	O
	the	DT	O
	activities	NNS	O
	of	IN	O
	the	DT	O
	Logical	NNP	O
	Decomposition	NNP	O
	and	CC	O
	Design	NNP	B-opcon
	Solution	NNP	I-opcon
	Processes	NNP	B-seterm
	.	.	O
Sentence:588	The	DT	O
	requirements	NNS	B-opcon
	should	MD	O
	be	VB	O
	evaluated	VBN	O
	,	,	O
	independently	RB	O
	if	IN	O
	possible	JJ	O
	,	,	O
	to	TO	O
	ensure	VB	O
	that	IN	O
	the	DT	O
	requirements	NNS	B-opcon
	trace	NN	O
	is	VBZ	O
	correct	JJ	O
	and	CC	O
	that	IN	O
	it	PRP	O
	fully	RB	O
	addresses	VBZ	O
	its	PRP$	O
	parent	NN	O
	requirements	NNS	B-opcon
	.	.	O
Sentence:589	If	IN	O
	it	PRP	O
	does	VBZ	O
	not	RB	O
	,	,	O
	some	DT	O
	other	JJ	O
	requirement	JJ	B-opcon
	s	NNS	O
	should	MD	O
	complete	VB	O
	fulfillment	NN	O
	of	IN	O
	the	DT	O
	parent	NN	O
	requirement	NN	B-opcon
	and	CC	O
	be	VB	O
	included	VBN	O
	in	IN	O
	the	DT	O
	traceability	NN	B-mea
	matrix	NN	O
	.	.	O
Sentence:590	In	IN	O
	addition	NN	O
	,	,	O
	ensure	VB	O
	that	IN	O
	all	DT	O
	top	JJ	O
	level	NN	O
	parent	NN	O
	document	NN	O
	requirements	NNS	B-opcon
	have	VBP	O
	been	VBN	O
	allocated	VBN	O
	to	TO	O
	the	DT	O
	lower	JJR	O
	level	NN	O
	requirements	NNS	B-opcon
	.	.	O
Sentence:591	Timing	VBG	O
	DRR	NNP	O
	Disposal	NNP	O
	Readiness	NNP	B-opcon
	Review	NNP	O
	PLAR	NNP	O
	PLAR	NNP	O
	is	VBZ	O
	notional	JJ	O
	.	.	O
Sentence:592	Duplication	NN	O
	between	IN	O
	levels	NNS	O
	should	MD	O
	be	VB	O
	resolved	VBN	O
	.	.	O
Sentence:593	If	IN	O
	a	DT	O
	requirement	NN	B-opcon
	is	VBZ	O
	simply	RB	O
	repeated	VBN	O
	at	IN	O
	a	DT	O
	lower	JJR	O
	level	NN	O
	and	CC	O
	it	PRP	O
	is	VBZ	O
	not	RB	O
	an	DT	O
	externally	RB	O
	imposed	VBN	O
	constraint	NN	O
	,	,	O
	it	PRP	O
	may	MD	O
	not	RB	O
	belong	VB	O
	at	IN	O
	the	DT	O
	higher	JJR	O
	level	NN	O
	.	.	O
Sentence:594	Requirements	NNS	B-opcon
	traceability	NN	B-mea
	is	VBZ	O
	usually	RB	O
	recorded	VBN	O
	in	IN	O
	a	DT	O
	requirements	NNS	B-opcon
	matrix	NN	O
	or	CC	O
	through	IN	O
	the	DT	O
	use	NN	O
	of	IN	O
	a	DT	O
	requirements	NNS	B-opcon
	modeling	VBG	B-opcon
	application	NN	O
	.	.	O
Sentence:595	Throughout	IN	O
	early	JJ	O
	Phase	NNP	B-event
	A	NNP	I-event
	,	,	O
	changes	NNS	O
	in	IN	O
	requirements	NNS	B-opcon
	and	CC	O
	constraints	NNS	B-seterm
	will	MD	O
	occur	VB	O
	as	IN	O
	they	PRP	O
	are	VBP	O
	initially	RB	O
	defined	VBN	O
	and	CC	O
	matured	VBN	O
	.	.	O
Sentence:596	It	PRP	O
	is	VBZ	O
	imperative	JJ	O
	that	IN	O
	all	DT	O
	changes	NNS	O
	be	VB	O
	thoroughly	RB	O
	evaluated	VBN	O
	to	TO	O
	determine	VB	O
	the	DT	O
	impacts	NNS	O
	on	IN	O
	the	DT	O
	cost	NN	B-mea
	,	,	O
	schedule	NN	B-opcon
	,	,	O
	architecture	NN	B-opcon
	,	,	O
	design	NN	B-opcon
	,	,	O
	interfaces	NNS	B-syscon
	,	,	O
	ConOps	NNP	B-abb
	,	,	O
	and	CC	O
	higher	JJR	O
	and	CC	O
	lower	JJR	O
	level	NN	O
	requirements	NNS	B-opcon
	.	.	O
Sentence:597	Performing	VBG	O
	functional	JJ	B-opcon
	and	CC	O
	sensitivity	NN	O
	analyses	NNS	O
	will	MD	O
	ensure	VB	O
	that	IN	O
	the	DT	O
	requirements	NNS	B-opcon
	are	VBP	O
	realistic	JJ	O
	and	CC	O
	evenly	RB	O
	allocated	VBD	O
	.	.	O
Sentence:598	Rigorous	JJ	O
	requirements	NNS	B-opcon
	V	NNP	B-abb
	&	CC	I-abb
	V	NNP	I-abb
	will	MD	O
	ensure	VB	O
	that	IN	O
	the	DT	O
	requirements	NNS	B-opcon
	can	MD	O
	be	VB	O
	satisfied	VBN	O
	and	CC	O
	conform	VB	O
	to	TO	O
	mission	VB	B-seterm
	objectives	NNS	B-opcon
	.	.	O
Sentence:599	All	DT	O
	changes	NNS	O
	should	MD	O
	be	VB	O
	subjected	VBN	O
	to	TO	O
	a	DT	O
	review	NN	O
	and	CC	O
	approval	NN	B-opcon
	cycle	NN	O
	to	TO	O
	maintain	VB	B-opcon
	traceability	NN	B-mea
	and	CC	O
	to	TO	O
	ensure	VB	O
	that	IN	O
	the	DT	O
	impacts	NNS	O
	are	VBP	O
	fully	RB	O
	assessed	VBN	O
	for	IN	O
	all	DT	O
	parts	NNS	O
	of	IN	O
	the	DT	O
	system	NN	B-syscon
	.	.	O
Sentence:600	Once	RB	O
	the	DT	O
	requirements	NNS	B-opcon
	have	VBP	O
	been	VBN	O
	validated	VBN	O
	and	CC	O
	reviewed	VBN	O
	in	IN	O
	the	DT	O
	SRR	NNP	O
	in	IN	O
	late	JJ	O
	Phase	NNP	B-event
	A	NNP	I-event
	,	,	O
	they	PRP	O
	are	VBP	O
	placed	VBN	O
	under	IN	O
	formal	JJ	O
	configuration	NN	B-opcon
	control	NN	O
	.	.	O
Sentence:601	Thereafter	RB	O
	,	,	O
	any	DT	O
	changes	NNS	O
	to	TO	O
	the	DT	O
	requirements	NNS	B-opcon
	should	MD	O
	be	VB	O
	approved	VBN	O
	by	IN	O
	a	DT	O
	CCB	NNP	O
	or	CC	O
	equivalent	JJ	O
	authority	NN	O
	.	.	O
Sentence:602	FA	NNP	O
	FA	NNP	O
	PRR	NNP	O
	PRR	NNP	O
Sentence:603	The	DT	O
	SER	NNP	B-abb
	,	,	O
	project	NN	B-grp
	manager	NN	I-grp
	,	,	O
	and	CC	O
	other	JJ	O
	key	JJ	O
	engineers	NNS	O
	usually	RB	O
	participate	VBP	O
	in	IN	O
	the	DT	O
	CCB	NNP	O
	approval	NN	B-opcon
	processes	VBZ	B-seterm
	to	TO	O
	assess	VB	O
	the	DT	O
	impact	NN	O
	of	IN	O
	the	DT	O
	change	NN	O
	including	VBG	O
	cost	NN	B-mea
	,	,	O
	performance	NN	B-mea
	,	,	O
	programmatic	JJ	B-opcon
	,	,	O
	and	CC	O
	safety	NN	B-mea
	.	.	O
Sentence:604	Requirement	JJ	B-opcon
	changes	NNS	O
	during	IN	O
	Phases	NNS	B-event
	B	NNP	O
	and	CC	O
	C	NNP	O
	are	VBP	O
	more	RBR	O
	likely	JJ	O
	to	TO	O
	cause	VB	O
	significant	JJ	O
	adverse	JJ	O
	impacts	NNS	O
	to	TO	O
	the	DT	O
	project	NN	B-seterm
	cost	NN	B-mea
	and	CC	O
	schedule	NN	B-opcon
	.	.	O
Sentence:605	It	PRP	O
	is	VBZ	O
	even	RB	O
	more	RBR	O
	important	JJ	O
	that	IN	O
	these	DT	O
	late	JJ	O
	changes	NNS	O
	are	VBP	O
	carefully	RB	O
	evaluated	VBN	O
	to	TO	O
	fully	RB	O
	understand	VB	O
	their	PRP$	O
	impact	NN	O
	on	IN	O
	cost	NN	B-mea
	,	,	O
	schedule	NN	B-opcon
	,	,	O
	and	CC	O
	technical	JJ	B-opcon
	designs	NNS	B-opcon
	.	.	O
Sentence:606	The	DT	O
	technical	JJ	B-grp
	team	NN	I-grp
	should	MD	O
	also	RB	O
	ensure	VB	O
	that	IN	O
	the	DT	O
	approved	JJ	O
	requirements	NNS	B-opcon
	are	VBP	O
	communicated	VBN	O
	in	IN	O
	a	DT	O
	timely	JJ	O
	manner	NN	O
	to	TO	O
	all	DT	O
	relevant	JJ	O
	people	NNS	O
	.	.	O
Sentence:607	Each	DT	O
	project	NN	B-seterm
	should	MD	O
	have	VB	O
	already	RB	O
	established	VBN	O
	the	DT	O
	mechanism	NN	O
	to	TO	O
	track	VB	O
	and	CC	O
	disseminate	VB	O
	the	DT	O
	latest	JJS	O
	project	NN	B-seterm
	information	NN	O
	.	.	O
Sentence:608	Effective	JJ	O
	management	NN	O
	of	IN	O
	requirements	NNS	B-opcon
	changes	NNS	O
	requires	VBZ	O
	a	DT	O
	process	NN	B-opcon
	that	WDT	O
	assesses	VBZ	O
	the	DT	O
	impact	NN	O
	of	IN	O
	the	DT	O
	proposed	VBN	O
	changes	NNS	O
	prior	RB	O
	to	TO	O
	approval	NN	B-opcon
	and	CC	O
	implementation	NN	B-opcon
	of	IN	O
	the	DT	O
	change	NN	O
	.	.	O
Sentence:609	This	DT	O
	is	VBZ	O
	normally	RB	O
	accomplished	VBN	O
	through	IN	O
	the	DT	O
	use	NN	O
	of	IN	O
	the	DT	O
	CM	NNP	O
	Process	NNP	B-opcon
	.	.	O
Sentence:610	In	IN	O
	order	NN	O
	for	IN	O
	CM	NNP	O
	to	TO	O
	perform	VB	O
	this	DT	O
	function	NN	O
	,	,	O
	a	DT	O
	baseline	NN	B-opcon
	configuration	NN	B-opcon
	should	MD	O
	be	VB	O
	documented	VBN	O
	and	CC	O
	tools	NNS	O
	used	VBN	O
	to	TO	O
	assess	VB	O
	impacts	NNS	O
	to	TO	O
	the	DT	O
	baseline	NN	B-opcon
	.	.	O
Sentence:611	Typical	JJ	O
	tools	NNS	O
	used	VBN	O
	to	TO	O
	analyze	VB	O
	the	DT	O
	change	NN	O
	impacts	NNS	O
	are	VBP	O
	as	IN	O
	follows	VBZ	O
	:	:	O
Sentence:612	Performance	NN	B-mea
	Margins	NNS	O
	:	:	O
	This	DT	O
	tool	NN	O
	is	VBZ	O
	a	DT	O
	list	NN	O
	of	IN	O
	key	JJ	O
	performance	NN	B-mea
	margins	NNS	O
	for	IN	O
	the	DT	O
	system	NN	B-syscon
	and	CC	O
	the	DT	O
	current	JJ	O
	status	NN	O
	of	IN	O
	the	DT	O
	margin	NN	B-seterm
	.	.	O
Sentence:613	CERRs	NN	O
	are	VBP	O
	established	VBN	O
	at	IN	O
	the	DT	O
	discretion	NN	O
	of	IN	O
	program	NN	B-opcon
	.	.	O
Sentence:614	For	IN	O
	example	NN	O
	,	,	O
	the	DT	O
	propellant	JJ	O
	performance	NN	B-mea
	margin	NN	B-seterm
	will	MD	O
	provide	VB	O
	the	DT	O
	necessary	JJ	O
	propellant	NN	O
	available	JJ	O
	versus	IN	O
	the	DT	O
	propellant	JJ	O
	necessary	JJ	O
	to	TO	O
	complete	VB	O
	the	DT	O
	mission	NN	B-seterm
	.	.	O
Sentence:615	Changes	NNS	O
	should	MD	O
	be	VB	O
	assessed	VBN	O
	for	IN	O
	their	PRP$	O
	impact	NN	O
	on	IN	O
	performance	NN	B-mea
	margins	NNS	O
	.	.	O
Sentence:616	CM	NNP	O
	Topic	NNP	O
	Evaluators	NNP	O
	List	NNP	O
	:	:	O
	This	DT	O
	list	NN	O
	is	VBZ	O
	developed	VBN	O
	by	IN	O
	the	DT	O
	project	NN	B-seterm
	office	NN	O
	to	TO	O
	ensure	VB	O
	that	IN	O
	the	DT	O
	appropriate	JJ	O
	persons	NNS	O
	are	VBP	O
	evaluating	VBG	O
	the	DT	O
	changes	NNS	O
	and	CC	O
	providing	VBG	O
	impacts	NNS	O
	to	TO	O
	the	DT	O
	change	NN	O
	.	.	O
Sentence:617	All	DT	O
	changes	NNS	O
	need	VBP	B-opcon
	to	TO	O
	be	VB	O
	routed	VBN	O
	to	TO	O
	the	DT	O
	appropriate	JJ	O
	individuals	NNS	O
	to	TO	O
	ensure	VB	O
	that	IN	O
	the	DT	O
	change	NN	O
	has	VBZ	O
	had	VBN	O
	all	DT	O
	impacts	NNS	O
	identified	VBN	O
	.	.	O
Sentence:618	This	DT	O
	list	NN	O
	will	MD	O
	need	VB	B-opcon
	to	TO	O
	be	VB	O
	updated	VBN	O
	periodically	RB	O
	.	.	O
Sentence:619	Risk	NN	B-mea
	System	NNP	B-syscon
	and	CC	O
	Threats	NNP	O
	List	NNP	O
	:	:	O
	The	DT	O
	risk	NN	B-mea
	system	NN	B-syscon
	can	MD	O
	be	VB	O
	used	VBN	O
	to	TO	O
	identify	VB	O
	risks	NNS	B-mea
	to	TO	O
	the	DT	O
	project	NN	B-seterm
	and	CC	O
	the	DT	O
	cost	NN	B-mea
	,	,	O
	schedule	NN	B-opcon
	,	,	O
	and	CC	O
	technical	JJ	B-opcon
	aspects	NNS	I-opcon
	of	IN	O
	the	DT	O
	risk	NN	B-mea
	.	.	O
Sentence:620	Changes	NNS	O
	to	TO	O
	the	DT	O
	baseline	NN	B-opcon
	can	MD	O
	affect	VB	O
	the	DT	O
	consequences	NNS	O
	and	CC	O
	likelihood	NN	O
	of	IN	O
	identified	VBN	O
	risk	NN	B-mea
	or	CC	O
	can	MD	O
	introduce	VB	O
	new	JJ	O
	risk	NN	B-mea
	to	TO	O
	the	DT	O
	project	NN	B-seterm
	.	.	O
Sentence:621	A	DT	O
	threats	JJ	O
	list	NN	O
	is	VBZ	O
	normally	RB	O
	used	VBN	O
	to	TO	O
	identify	VB	O
	the	DT	O
	costs	NNS	B-mea
	associated	VBN	O
	with	IN	O
	all	PDT	O
	the	DT	O
	risks	NNS	B-mea
	for	IN	O
	the	DT	O
	project	NN	B-seterm
	.	.	O
Sentence:622	Project	NN	B-seterm
	reserves	NNS	O
	are	VBP	O
	used	VBN	O
	to	TO	O
	mitigate	VB	O
	the	DT	O
	appropriate	JJ	O
	risk	NN	B-mea
	.	.	O
Sentence:623	Analyses	NNS	O
	of	IN	O
	the	DT	O
	reserves	NNS	O
	available	JJ	O
	versus	IN	O
	the	DT	O
	needs	NNS	B-opcon
	identified	VBN	O
	by	IN	O
	the	DT	O
	threats	NNS	O
	list	VBP	O
	assist	NN	O
	in	IN	O
	the	DT	O
	prioritization	NN	O
	for	IN	O
	reserve	NN	O
	use	NN	O
	.	.	O
Sentence:624	FAD	NNP	O
	FAD	NNP	O
	SAR	NNP	O
	SAR	NNP	O
Sentence:625	The	DT	O
	process	NN	B-opcon
	for	IN	O
